Dependency=Geometry Building Type FPL	Dependency=Vintage FPL	Dependency=Location EPW	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Counts
50 or more Unit	2000-09s	USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3.epw	0.809014284	0.05675308	0.05675308	0.077479557	4.228491858
50 or more Unit	<1940	USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3.epw	0.884393359	0.038535547	0.038535547	0.038535547	2.605631649
50 or more Unit	2010s	USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1940-59s	USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.264981495	0.419672065	0.15767322	0.15767322	46.49284183
50 or more Unit	1960-79s	USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.726426227	0.083857073	0.08226871	0.10744799	654.8319666
50 or more Unit	1980-99s	USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.674245386	0.112820104	0.106467255	0.106467255	1646.331822
50 or more Unit	2000-09s	USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.4214569	0.18590456	0.18590456	0.20673398	269.7074408
50 or more Unit	<1940	USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.517791255	0.160736248	0.160736248	0.160736248	121.2428725
50 or more Unit	2010s	USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.309978353	0.230007216	0.230007216	0.230007216	37.13163632
50 or more Unit	1940-59s	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.3556778	0.217329604	0.208121068	0.218871527	156.0089457
50 or more Unit	1960-79s	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.462053118	0.192377437	0.170986491	0.174582954	1343.663423
50 or more Unit	1980-99s	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.576613505	0.151354264	0.131468751	0.14056348	2786.895578
50 or more Unit	2000-09s	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.560230241	0.140380582	0.130442272	0.168946905	496.6583337
50 or more Unit	<1940	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.329484726	0.224551461	0.222657348	0.223306466	45.23035126
50 or more Unit	2010s	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.373378021	0.208976543	0.208822718	0.208822718	58.82352886
50 or more Unit	1940-59s	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.879991015	0.058813685	0.02152245	0.03967285	9583.662422
50 or more Unit	1960-79s	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.816790678	0.070605532	0.036931155	0.075672635	34285.99463
50 or more Unit	1980-99s	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.79701208	0.098210393	0.034376242	0.070401285	30216.62968
50 or more Unit	2000-09s	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.68646701	0.118697372	0.079439435	0.115396183	8918.517258
50 or more Unit	<1940	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.856656414	0.069736202	0.025552154	0.04805523	5400.614204
50 or more Unit	2010s	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.682025975	0.105991342	0.105991342	0.105991342	1556.103807
50 or more Unit	1940-59s	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.430465146	0.189844951	0.189844951	0.189844951	125.777922
50 or more Unit	1960-79s	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.621596002	0.126257611	0.126073193	0.126073193	1896.979327
50 or more Unit	1980-99s	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.555729447	0.149043569	0.147613492	0.147613492	2928.211934
50 or more Unit	2000-09s	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.351362193	0.215810189	0.213682684	0.219144934	326.9912563
50 or more Unit	<1940	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.25	0.25	0.25	0.25	7.823498538
50 or more Unit	2010s	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.311418486	0.229527171	0.229527171	0.229527171	47.68432936
50 or more Unit	1940-59s	USA_NM_Tucumcari.AP.723676_TMY3.epw	0.82193142	0.059356193	0.059356193	0.059356193	6.744109073
50 or more Unit	1960-79s	USA_NM_Tucumcari.AP.723676_TMY3.epw	0.936912446	0.021029185	0.021029185	0.021029185	74.9351473
50 or more Unit	1980-99s	USA_NM_Tucumcari.AP.723676_TMY3.epw	0.874265307	0.048747682	0.038493505	0.038493505	149.3408516
50 or more Unit	2000-09s	USA_NM_Tucumcari.AP.723676_TMY3.epw	0.640387967	0.119744583	0.119744583	0.120122868	13.68699459
50 or more Unit	<1940	USA_NM_Tucumcari.AP.723676_TMY3.epw	0.641062749	0.11964575	0.11964575	0.11964575	0.928965299
50 or more Unit	2010s	USA_NM_Tucumcari.AP.723676_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1940-59s	USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1960-79s	USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.532985541	0.155671486	0.155671486	0.155671486	0.125779597
50 or more Unit	1980-99s	USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.932461861	0.025934267	0.020801936	0.020801936	28.92493617
50 or more Unit	2000-09s	USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.884785708	0.038404764	0.038404764	0.038404764	0.58605968
50 or more Unit	<1940	USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.6357813	0.121406233	0.121406233	0.121406233	0.582378846
50 or more Unit	2010s	USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.884872291	0.038375903	0.038375903	0.038375903	11.78637703
50 or more Unit	1940-59s	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1960-79s	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.532985541	0.155671486	0.155671486	0.155671486	0.168097967
50 or more Unit	1980-99s	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.985129711	0.012059841	0.001405224	0.001405224	10.21748679
50 or more Unit	2000-09s	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.88643225	0.037855917	0.037855917	0.037855917	0.221177199
50 or more Unit	<1940	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	2010s	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1940-59s	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.608006257	0.130664581	0.130664581	0.130664581	148.0186777
50 or more Unit	1960-79s	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.919346032	0.027547971	0.026552998	0.026552998	2353.702714
50 or more Unit	1980-99s	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.922441323	0.03620735	0.020675664	0.020675664	8914.166536
50 or more Unit	2000-09s	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.80667446	0.053011253	0.045846299	0.094467988	1978.037791
50 or more Unit	<1940	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.86110343	0.046298857	0.046298857	0.046298857	13.26313066
50 or more Unit	2010s	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.57744826	0.14085058	0.14085058	0.14085058	262.3270901
50 or more Unit	1940-59s	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.762407645	0.079197452	0.079197452	0.079197452	80.98503275
50 or more Unit	1960-79s	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.818395324	0.072115471	0.054744602	0.054744602	1260.672825
50 or more Unit	1980-99s	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.906981701	0.041304192	0.025857054	0.025857054	2155.640705
50 or more Unit	2000-09s	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.821665859	0.047375064	0.045076213	0.085882864	349.5156996
50 or more Unit	<1940	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.69461592	0.101794693	0.101794693	0.101794693	13.8815189
50 or more Unit	2010s	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.466118385	0.177960538	0.177960538	0.177960538	35.38324949
50 or more Unit	1940-59s	USA_NV_Tonopah.AP.724855_TMY3.epw	0.539513436	0.153495521	0.153495521	0.153495521	0.499394723
50 or more Unit	1960-79s	USA_NV_Tonopah.AP.724855_TMY3.epw	0.671716727	0.109427758	0.109427758	0.109427758	4.344773164
50 or more Unit	1980-99s	USA_NV_Tonopah.AP.724855_TMY3.epw	0.988100158	0.003970847	0.003964498	0.003964498	0.434097297
50 or more Unit	2000-09s	USA_NV_Tonopah.AP.724855_TMY3.epw	0.88643225	0.037855917	0.037855917	0.037855917	2.167746193
50 or more Unit	<1940	USA_NV_Tonopah.AP.724855_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	2010s	USA_NV_Tonopah.AP.724855_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1940-59s	USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1960-79s	USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.532985541	0.155671486	0.155671486	0.155671486	5.4790533
50 or more Unit	1980-99s	USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.972106865	0.013859296	0.00701692	0.00701692	0.082459622
50 or more Unit	2000-09s	USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.783419329	0.05614212	0.05614212	0.104296431	0.110319368
50 or more Unit	<1940	USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	2010s	USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.326288332	0.224570556	0.224570556	0.224570556	0.07231733
50 or more Unit	1940-59s	USA_NY_Albany.County.AP.725180_TMY3.epw	0.382817257	0.230290575	0.193446084	0.193446084	168.4311091
50 or more Unit	1960-79s	USA_NY_Albany.County.AP.725180_TMY3.epw	0.542213984	0.183990866	0.135987036	0.137808114	2064.338844
50 or more Unit	1980-99s	USA_NY_Albany.County.AP.725180_TMY3.epw	0.457869748	0.18369347	0.179218391	0.179218391	2190.712509
50 or more Unit	2000-09s	USA_NY_Albany.County.AP.725180_TMY3.epw	0.346659224	0.221826996	0.215756649	0.21575713	421.1755616
50 or more Unit	<1940	USA_NY_Albany.County.AP.725180_TMY3.epw	0.514784716	0.161738428	0.161738428	0.161738428	130.8450262
50 or more Unit	2010s	USA_NY_Albany.County.AP.725180_TMY3.epw	0.25	0.25	0.25	0.25	77.46021717
50 or more Unit	1940-59s	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.416360579	0.194546474	0.194546474	0.194546474	56.08225744
50 or more Unit	1960-79s	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.879676103	0.040107966	0.040107966	0.040107966	918.4338314
50 or more Unit	1980-99s	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.803876737	0.104118711	0.046002276	0.046002276	1052.749864
50 or more Unit	2000-09s	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.521266264	0.16344192	0.157645908	0.157645908	107.046621
50 or more Unit	<1940	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.38360034	0.205466553	0.205466553	0.205466553	51.1276443
50 or more Unit	2010s	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.25	0.25	0.25	0.25	34.21866833
50 or more Unit	1940-59s	USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.39590419	0.20136527	0.20136527	0.20136527	314.5634131
50 or more Unit	1960-79s	USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.261409977	0.246196674	0.246196674	0.246196674	1546.804192
50 or more Unit	1980-99s	USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.419254577	0.19360369	0.193570867	0.193570867	1865.400736
50 or more Unit	2000-09s	USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.250102466	0.249967873	0.24996483	0.24996483	361.81864
50 or more Unit	<1940	USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.487835943	0.183045241	0.164559408	0.164559408	183.4098419
50 or more Unit	2010s	USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.332854986	0.222381671	0.222381671	0.222381671	112.1113369
50 or more Unit	1940-59s	USA_NY_Massena.AP.726223_TMY3.epw	0.323687662	0.225437446	0.225437446	0.225437446	38.56415305
50 or more Unit	1960-79s	USA_NY_Massena.AP.726223_TMY3.epw	0.798859598	0.067046801	0.067046801	0.067046801	185.2980683
50 or more Unit	1980-99s	USA_NY_Massena.AP.726223_TMY3.epw	0.841720679	0.054048901	0.05211521	0.05211521	80.11329639
50 or more Unit	2000-09s	USA_NY_Massena.AP.726223_TMY3.epw	0.343482059	0.221069564	0.217724189	0.217724189	5.402628093
50 or more Unit	<1940	USA_NY_Massena.AP.726223_TMY3.epw	0.303372262	0.232209246	0.232209246	0.232209246	5.996225568
50 or more Unit	2010s	USA_NY_Massena.AP.726223_TMY3.epw	0.25	0.25	0.25	0.25	4.681913467
50 or more Unit	1940-59s	USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.86194967	0.067413415	0.02751777	0.043119145	27715.14804
50 or more Unit	1960-79s	USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.820273277	0.084328594	0.037335452	0.058062677	88236.359
50 or more Unit	1980-99s	USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.76057326	0.122224544	0.031118898	0.086083298	42445.04798
50 or more Unit	2000-09s	USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.685660828	0.115832555	0.080562605	0.117944011	9690.04218
50 or more Unit	<1940	USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.822782622	0.089105246	0.03474631	0.053365823	10572.85056
50 or more Unit	2010s	USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.701974076	0.099341975	0.099341975	0.099341975	1903.605597
50 or more Unit	1940-59s	USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.250379543	0.249873486	0.249873486	0.249873486	152.8847248
50 or more Unit	1960-79s	USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.586495087	0.137834971	0.137834971	0.137834971	2019.396167
50 or more Unit	1980-99s	USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.540383468	0.153223392	0.15319657	0.15319657	1641.808716
50 or more Unit	2000-09s	USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.328168652	0.2239818	0.223924774	0.223924774	400.4404477
50 or more Unit	<1940	USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.383676784	0.205441072	0.205441072	0.205441072	114.6133956
50 or more Unit	2010s	USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.25	0.25	0.25	0.25	60.82355825
50 or more Unit	1940-59s	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.425881918	0.191372694	0.191372694	0.191372694	258.6543516
50 or more Unit	1960-79s	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.862465933	0.045844689	0.045844689	0.045844689	1985.170692
50 or more Unit	1980-99s	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.816821548	0.073359109	0.054909671	0.054909671	1947.016992
50 or more Unit	2000-09s	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.523413968	0.165563659	0.155511186	0.155511186	71.16116819
50 or more Unit	<1940	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.453175034	0.182274989	0.182274989	0.182274989	104.5654336
50 or more Unit	2010s	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.25	0.25	0.25	0.25	46.13905107
50 or more Unit	1940-59s	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	0.370363726	0.209878758	0.209878758	0.209878758	169.4051682
50 or more Unit	1960-79s	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	0.625995309	0.122603386	0.128898438	0.122502867	2227.729355
50 or more Unit	1980-99s	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	0.295892773	0.233949032	0.233949032	0.236209164	1864.667988
50 or more Unit	2000-09s	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	0.320158588	0.226613804	0.226613804	0.226613804	236.7788645
50 or more Unit	<1940	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	0.501129552	0.166290149	0.166290149	0.166290149	49.52020815
50 or more Unit	2010s	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	0.25	0.25	0.25	0.25	34.54624947
50 or more Unit	1940-59s	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	0.338304814	0.220565062	0.220565062	0.220565062	1214.633572
50 or more Unit	1960-79s	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	0.596697722	0.078027043	0.247353711	0.077921524	9127.005475
50 or more Unit	1980-99s	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	0.255197097	0.246319419	0.246319419	0.252164066	5162.348083
50 or more Unit	2000-09s	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	0.251159355	0.249613548	0.249613548	0.249613548	574.7566887
50 or more Unit	<1940	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	0.572890806	0.142369731	0.142369731	0.142369731	409.5761597
50 or more Unit	2010s	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	0.25	0.25	0.25	0.25	98.00270154
50 or more Unit	1940-59s	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	0.289532623	0.236822459	0.236822459	0.236822459	185.4461395
50 or more Unit	1960-79s	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	0.574481744	0.142555805	0.141481225	0.141481225	2250.289498
50 or more Unit	1980-99s	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	0.420581703	0.189894199	0.189876361	0.199647737	4452.714692
50 or more Unit	2000-09s	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	0.488655732	0.170448089	0.170448089	0.170448089	817.6182894
50 or more Unit	<1940	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	0.425072101	0.191642633	0.191642633	0.191642633	78.53498856
50 or more Unit	2010s	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	0.25	0.25	0.25	0.25	253.9382758
50 or more Unit	1940-59s	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	0.695854967	0.101381678	0.101381678	0.101381678	141.838944
50 or more Unit	1960-79s	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	0.811359183	0.065958158	0.06134133	0.06134133	1403.470682
50 or more Unit	1980-99s	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	0.752712143	0.070970183	0.070970183	0.105347492	1952.633577
50 or more Unit	2000-09s	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	0.702874783	0.099041739	0.099041739	0.099041739	240.2670976
50 or more Unit	<1940	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	0.568089831	0.143970056	0.143970056	0.143970056	91.38763614
50 or more Unit	2010s	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	0.25	0.25	0.25	0.25	39.2223401
50 or more Unit	1940-59s	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	0.477109537	0.174296821	0.174296821	0.174296821	6.043482196
50 or more Unit	1960-79s	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	0.835677634	0.060772387	0.05177499	0.05177499	108.7197678
50 or more Unit	1980-99s	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	0.748596284	0.072717743	0.072717743	0.105968229	293.9844393
50 or more Unit	2000-09s	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	0.724194661	0.091935113	0.091935113	0.091935113	84.5518271
50 or more Unit	<1940	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	0.431904602	0.189365133	0.189365133	0.189365133	4.63234133
50 or more Unit	2010s	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	0.25	0.25	0.25	0.25	3.312189271
50 or more Unit	1940-59s	USA_OH_Toledo.Express.AP.725360_TMY3.epw	0.696180465	0.101273178	0.101273178	0.101273178	121.8043412
50 or more Unit	1960-79s	USA_OH_Toledo.Express.AP.725360_TMY3.epw	0.877194861	0.046826076	0.037989532	0.037989532	898.156487
50 or more Unit	1980-99s	USA_OH_Toledo.Express.AP.725360_TMY3.epw	0.80728629	0.048038443	0.050344902	0.094330365	1605.940856
50 or more Unit	2000-09s	USA_OH_Toledo.Express.AP.725360_TMY3.epw	0.775512458	0.074829181	0.074829181	0.074829181	216.5068757
50 or more Unit	<1940	USA_OH_Toledo.Express.AP.725360_TMY3.epw	0.544909496	0.151696835	0.151696835	0.151696835	61.25885079
50 or more Unit	2010s	USA_OH_Toledo.Express.AP.725360_TMY3.epw	0.25	0.25	0.25	0.25	31.19674833
50 or more Unit	1940-59s	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	0.71007841	0.09664053	0.09664053	0.09664053	71.12272738
50 or more Unit	1960-79s	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	0.857238444	0.049655431	0.047058141	0.046047985	1110.684315
50 or more Unit	1980-99s	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	0.729068578	0.088373571	0.075915294	0.106642557	970.9898288
50 or more Unit	2000-09s	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	0.606414304	0.131349121	0.131118288	0.131118288	86.78766319
50 or more Unit	<1940	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	0.633446617	0.122184461	0.122184461	0.122184461	26.58168052
50 or more Unit	2010s	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	0.25	0.25	0.25	0.25	8.133013742
50 or more Unit	1940-59s	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.4292746	0.1902418	0.1902418	0.1902418	113.2651409
50 or more Unit	1960-79s	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.473935733	0.175354756	0.175354756	0.175354756	1610.816823
50 or more Unit	1980-99s	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.400536953	0.199821016	0.199821016	0.199821016	3016.257918
50 or more Unit	2000-09s	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.265674192	0.244775269	0.244775269	0.244775269	445.0171932
50 or more Unit	<1940	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.283417854	0.238860715	0.238860715	0.238860715	24.24262084
50 or more Unit	2010s	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.25381174	0.24872942	0.24872942	0.24872942	146.6030357
50 or more Unit	1940-59s	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.33578973	0.221403423	0.221403423	0.221403423	93.00411202
50 or more Unit	1960-79s	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.737889248	0.087370251	0.087370251	0.087370251	1515.760039
50 or more Unit	1980-99s	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.659126582	0.113624473	0.113624473	0.113624473	2003.114817
50 or more Unit	2000-09s	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.49269697	0.16910101	0.16910101	0.16910101	278.3612678
50 or more Unit	<1940	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.378845018	0.207051661	0.207051661	0.207051661	21.78804155
50 or more Unit	2010s	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.410505363	0.196498212	0.196498212	0.196498212	55.48050156
50 or more Unit	1940-59s	USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.625193815	0.124935395	0.124935395	0.124935395	7.316693655
50 or more Unit	1960-79s	USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.957265542	0.014244819	0.014244819	0.014244819	36.33662365
50 or more Unit	1980-99s	USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.971918302	0.026684225	0.000698737	0.000698737	77.5833432
50 or more Unit	2000-09s	USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.729790762	0.090069746	0.090069746	0.090069746	13.89887203
50 or more Unit	<1940	USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.834873101	0.0550423	0.0550423	0.0550423	3.345434146
50 or more Unit	2010s	USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.484629851	0.17179005	0.17179005	0.17179005	4.042354918
50 or more Unit	1940-59s	USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	1960-79s	USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.969525581	0.01015814	0.01015814	0.01015814	10.72823901
50 or more Unit	1980-99s	USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.941905996	0.046615415	0.005739294	0.005739294	7.091710712
50 or more Unit	2000-09s	USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.593800868	0.075021807	0.075021807	0.256155518	5.08224578
50 or more Unit	<1940	USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.371970843	0.336281014	0.16628762	0.125460524	0
50 or more Unit	2010s	USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.292023972	0.235992009	0.235992009	0.235992009	0.031563312
50 or more Unit	1940-59s	USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.570641239	0.143119587	0.143119587	0.143119587	47.07615524
50 or more Unit	1960-79s	USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.476136219	0.17462126	0.17462126	0.17462126	604.5672083
50 or more Unit	1980-99s	USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.391803555	0.202815484	0.202690481	0.202690481	991.9459998
50 or more Unit	2000-09s	USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.305750984	0.229459219	0.229459219	0.235330577	150.3711743
50 or more Unit	<1940	USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.25	0.25	0.25	0.25	6.216442311
50 or more Unit	2010s	USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.25	0.25	0.25	0.25	47.47531426
50 or more Unit	1940-59s	USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY3.epw	0.681953337	0.106015554	0.106015554	0.106015554	38.25782815
50 or more Unit	1960-79s	USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY3.epw	0.964678005	0.011901101	0.011710447	0.011710447	327.1928857
50 or more Unit	1980-99s	USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY3.epw	0.911894882	0.03795905	0.025073034	0.025073034	876.9908818
