Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Single-Family Detached	1950s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.002162
Single-Family Attached	1950s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000212
Multi-Family with 2 - 4 Units	1950s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000347
Multi-Family with 5+ Units	1950s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000770
Mobile Home	1950s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.002188
Single-Family Attached	1960s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000214
Multi-Family with 2 - 4 Units	1960s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000352
Multi-Family with 5+ Units	1960s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000779
Mobile Home	1960s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.003125
Single-Family Attached	1970s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000306
Multi-Family with 2 - 4 Units	1970s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000502
Multi-Family with 5+ Units	1970s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.001113
Mobile Home	1970s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.002739
Single-Family Attached	1980s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000268
Multi-Family with 2 - 4 Units	1980s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000440
Multi-Family with 5+ Units	1980s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000975
Mobile Home	1980s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.002876
Single-Family Attached	1990s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000282
Multi-Family with 2 - 4 Units	1990s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000462
Multi-Family with 5+ Units	1990s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.001024
Mobile Home	1990s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.002931
Single-Family Attached	2000s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000287
Multi-Family with 2 - 4 Units	2000s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000471
Multi-Family with 5+ Units	2000s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.001044
Mobile Home	2000s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000666
Single-Family Attached	2010s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000065
Multi-Family with 2 - 4 Units	2010s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000107
Multi-Family with 5+ Units	2010s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000237
Mobile Home	2010s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.005836
Single-Family Attached	<1940	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000572
Multi-Family with 2 - 4 Units	<1940	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000938
Multi-Family with 5+ Units	<1940	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.002078
Mobile Home	<1940	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.002336
Single-Family Attached	1940s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000229
Multi-Family with 2 - 4 Units	1940s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000375
Multi-Family with 5+ Units	1940s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000832
Mobile Home	1940s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.004926
Single-Family Attached	1950s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000483
Multi-Family with 2 - 4 Units	1950s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000791
Multi-Family with 5+ Units	1950s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001754
Mobile Home	1950s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.004984
Single-Family Attached	1960s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000488
Multi-Family with 2 - 4 Units	1960s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000801
Multi-Family with 5+ Units	1960s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001775
Mobile Home	1960s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.007117
Single-Family Attached	1970s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000697
Multi-Family with 2 - 4 Units	1970s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001143
Multi-Family with 5+ Units	1970s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.002534
Mobile Home	1970s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.006239
Single-Family Attached	1980s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000611
Multi-Family with 2 - 4 Units	1980s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001002
Multi-Family with 5+ Units	1980s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.002221
Mobile Home	1980s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.006551
Single-Family Attached	1990s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000642
Multi-Family with 2 - 4 Units	1990s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001053
Multi-Family with 5+ Units	1990s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.002333
Mobile Home	1990s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.006677
Single-Family Attached	2000s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000654
Multi-Family with 2 - 4 Units	2000s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001073
Multi-Family with 5+ Units	2000s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.002378
Mobile Home	2000s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.001518
Single-Family Attached	2010s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000149
Multi-Family with 2 - 4 Units	2010s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000244
Multi-Family with 5+ Units	2010s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000540
Mobile Home	2010s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000751
Single-Family Attached	<1940	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000074
Multi-Family with 2 - 4 Units	<1940	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000121
Multi-Family with 5+ Units	<1940	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000267
Mobile Home	<1940	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000301
Single-Family Attached	1940s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000029
Multi-Family with 2 - 4 Units	1940s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000048
Multi-Family with 5+ Units	1940s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000107
Mobile Home	1940s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000634
Single-Family Attached	1950s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000062
Multi-Family with 2 - 4 Units	1950s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000102
Multi-Family with 5+ Units	1950s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000226
Mobile Home	1950s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000641
Single-Family Attached	1960s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000063
Multi-Family with 2 - 4 Units	1960s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000103
Multi-Family with 5+ Units	1960s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000228
Mobile Home	1960s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000916
Single-Family Attached	1970s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000090
Multi-Family with 2 - 4 Units	1970s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000147
Multi-Family with 5+ Units	1970s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000326
Mobile Home	1970s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000803
Single-Family Attached	1980s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000079
Multi-Family with 2 - 4 Units	1980s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000129
Multi-Family with 5+ Units	1980s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000286
Mobile Home	1980s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000843
Single-Family Attached	1990s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000083
Multi-Family with 2 - 4 Units	1990s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000135
Multi-Family with 5+ Units	1990s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000300
Mobile Home	1990s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000859
Single-Family Attached	2000s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000084
Multi-Family with 2 - 4 Units	2000s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000138
Multi-Family with 5+ Units	2000s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000306
Mobile Home	2000s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000195
Single-Family Attached	2010s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000019
Multi-Family with 2 - 4 Units	2010s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000031
Multi-Family with 5+ Units	2010s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000070
Mobile Home	2010s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.002084
Single-Family Attached	<1940	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000204
Multi-Family with 2 - 4 Units	<1940	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000335
Multi-Family with 5+ Units	<1940	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000742
Mobile Home	<1940	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000834
Single-Family Attached	1940s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000082
Multi-Family with 2 - 4 Units	1940s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000134
Multi-Family with 5+ Units	1940s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000297
Mobile Home	1940s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.001759
Single-Family Attached	1950s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000172
Multi-Family with 2 - 4 Units	1950s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000283
Multi-Family with 5+ Units	1950s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000626
Mobile Home	1950s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.001780
Single-Family Attached	1960s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000174
Multi-Family with 2 - 4 Units	1960s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000286
Multi-Family with 5+ Units	1960s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000634
Mobile Home	1960s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.002541
Single-Family Attached	1970s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000249
Multi-Family with 2 - 4 Units	1970s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000408
Multi-Family with 5+ Units	1970s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000905
Mobile Home	1970s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.002228
Single-Family Attached	1980s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000218
Multi-Family with 2 - 4 Units	1980s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000358
Multi-Family with 5+ Units	1980s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000793
Mobile Home	1980s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.002339
Single-Family Attached	1990s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000229
Multi-Family with 2 - 4 Units	1990s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000376
Multi-Family with 5+ Units	1990s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000833
Mobile Home	1990s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.002384
Single-Family Attached	2000s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000234
Multi-Family with 2 - 4 Units	2000s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000383
Multi-Family with 5+ Units	2000s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000849
Mobile Home	2000s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000542
Single-Family Attached	2010s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000053
Multi-Family with 2 - 4 Units	2010s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000087
Multi-Family with 5+ Units	2010s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000193
Mobile Home	2010s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000782
Single-Family Attached	<1940	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000074
Multi-Family with 2 - 4 Units	<1940	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000313
Single-Family Attached	1940s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000030
Multi-Family with 2 - 4 Units	1940s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000660
Single-Family Attached	1950s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000063
Multi-Family with 2 - 4 Units	1950s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000668
Single-Family Attached	1960s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000064
Multi-Family with 2 - 4 Units	1960s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000953
Single-Family Attached	1970s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000091
Multi-Family with 2 - 4 Units	1970s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000836
Single-Family Attached	1980s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000080
Multi-Family with 2 - 4 Units	1980s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000878
Single-Family Attached	1990s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000084
Multi-Family with 2 - 4 Units	1990s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000895
Single-Family Attached	2000s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000085
Multi-Family with 2 - 4 Units	2000s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000203
Single-Family Attached	2010s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000019
Multi-Family with 2 - 4 Units	2010s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000710
Single-Family Attached	<1940	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000068
Multi-Family with 2 - 4 Units	<1940	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000284
Single-Family Attached	1940s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000027
Multi-Family with 2 - 4 Units	1940s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000599
Single-Family Attached	1950s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000057
Multi-Family with 2 - 4 Units	1950s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000606
Single-Family Attached	1960s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000058
Multi-Family with 2 - 4 Units	1960s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000866
Single-Family Attached	1970s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000082
Multi-Family with 2 - 4 Units	1970s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
